name,state,cz,tier,cuny,count,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1,kid_median,kid_q1,kid_q2,kid_q3,kid_q4,kid_q5,kid_top1,kidq1_if_parq1,kidq2_if_parq1,kidq3_if_parq1,kidq4_if_parq1,kidq5_if_parq1,kidtop1_if_parq1
"ASA Institute Of Business & Computer Technology","NY","New York","Two-year for-profit",0,275,29000,44.35752,32.67902,14.37108,5.970677,2.621719,.0415863,19700,17.12801,29.72165,25.16324,21.00205,6.985054,.1981456,17.91532,33.95769,24.37785,19.23266,4.516471,.004263
"Abilene Christian University","TX","Abilene","Selective private",0,838.6666667,101000,5.244135,10.1032,16.39357,25.82401,42.43509,2.30491,40100,14.00653,13.29476,17.32774,24.64441,30.72657,2.836768,9.414482,10.86272,25.59982,26.7327,27.39028,3.807959
"Abraham Baldwin Agricultural College","GA","Valdosta","Nonselective four-year public",0,679.3333333,66000,15.45552,18.71586,22.5497,23.67626,19.60265,.2520282,32500,12.19498,17.90269,25.53288,27.39572,16.97372,.6384978,17.64907,23.9796,30.10153,18.65683,9.612967,.6440228
"Academy Of Art University","CA","San Francisco","Four-year for-profit",0,495.6666667,92300,9.352424,12.29171,17.53495,21.15251,39.6684,3.56812,27400,20.58663,19.37821,18.08679,15.81462,26.13376,1.403081,26.70301,18.54258,20.62937,16.63503,17.49,1.45513
"Adams State University","CO","Alamosa","Selective public",0,393.3333333,67200,12.92244,18.55039,24.84288,26.08763,17.59666,.3146715,34100,12.12477,15.90779,24.38619,27.22648,20.35478,.5832592,16.9993,20.16696,21.88124,26.36958,14.58291,.0240013
"Adelphi University","NY","New York","Selective private",0,509,96300,8.704803,12.85386,15.64339,22.98646,39.8115,2.386326,50700,10.05154,11.30076,14.76446,19.31545,44.5678,1.489266,9.847518,12.51636,19.38495,20.81772,37.43344,3.00128
"Adirondack Community College - SUNY Office Of Community Colleges","NY","Albany","Two-year (public and private not-for-profit)",0,663,69900,11.42882,17.76071,25.52189,29.44492,15.84366,.1922987,30300,12.0906,20.07169,25.11959,25.80096,16.91717,.3172263,14.05527,25.46151,27.40812,24.37697,8.698126,.0247923
"Adrian College","MI","Jackson","Selective private",0,240.3333333,88500,6.076029,11.53559,20.08133,28.13269,34.17435,1.150438,40300,8.579204,12.80818,21.04974,30.36666,27.1962,.3567733,15.08756,16.43906,21.26947,31.46234,15.74158,.0696305
"Advanced Institute Of Hair Design","WI","Milwaukee","Two-year for-profit",0,58,78100,2.590209,11.11655,25.45027,40.80001,20.04296,.1437937,24300,12.27088,27.94218,34.55011,18.43133,6.805502,.1089648,8.254914,0,1.994345,11.86945,77.88129,.3760445
"Advanced Technology Institute","VA","Virginia Beach","Two-year for-profit",0,127.6666667,57200,15.95313,21.89207,26.27336,22.35292,13.52852,.2457908,33900,12.38795,15.23136,22.9782,30.94797,18.45452,.3851297,11.51012,21.52159,18.05242,29.20897,19.70689,.0407234
"Adventist University Of Health Sciences","FL","Orlando","Nonselective four-year private not-for-profit",0,120.5,62900,12.76343,21.57055,22.54377,27.37347,15.74878,.058266,39200,10.43777,10.39749,19.86399,25.45783,33.84292,.0768332,19.20666,8.526698,23.12325,19.48174,29.66163,.0598468
"Agnes Scott College","GA","Atlanta","Highly selective private",0,164,97200,7.200305,12.99675,15.52684,22.6091,41.66701,1.238161,38900,13.1755,15.66756,19.31104,23.4351,28.41079,1.500111,28.02235,7.410422,27.14801,16.94209,20.47713,.1170535
"Aiken Technical College","SC","Aiken","Two-year (public and private not-for-profit)",0,553.6666667,64100,20.11534,19.17811,18.35049,26.16418,16.19189,.1542641,25200,16.25512,23.32959,27.74163,19.92469,12.74898,.0342259,18.3458,25.83216,30.53408,16.78446,8.503487,0
"Alabama Agricultural & Mechanical University","AL","Huntsville","Selective public",0,943.6666667,44500,24.35612,26.43245,19.60877,17.62877,11.9739,.0179344,32900,11.46828,17.58654,24.50374,25.80637,20.63507,.2565126,12.39927,22.25993,23.42809,24.58931,17.32341,.2993557
"Alabama Southern Community College","AL","Atmore","Two-year (public and private not-for-profit)",0,248,44300,29.38994,22.91854,16.35298,21.24594,10.09258,.3593802,24300,17.09816,24.72856,26.00352,16.91586,15.2539,.2543508,13.81745,34.50169,27.15072,14.05783,10.47232,0
"Alamance Community College","NC","Greensboro","Two-year (public and private not-for-profit)",0,518.3333333,61200,13.40974,21.63931,24.08652,25.75382,15.11062,.2242142,25100,15.79833,22.47848,30.4968,22.78537,8.441024,.1604563,17.41117,34.74611,23.82066,20.68553,3.33652,0
"Alamo Community College District","TX","San Antonio","Two-year (public and private not-for-profit)",0,6901.333333,50600,21.75164,24.14913,21.90663,19.5349,12.6577,.2772422,29800,14.28296,18.5213,26.03678,25.39895,15.76001,.2861578,15.29654,21.44199,29.15607,22.88397,11.22143,.0456788
"Albany College Of Pharmacy And Health Sciences","NY","Albany","Nonselective four-year private not-for-profit",0,129,95800,3.940356,10.18793,18.64876,27.66784,39.55511,.1978402,115800,6.103642,2.419935,5.107361,8.552681,77.81638,10.47512,4.474135,0,6.587806,3.729166,85.20889,.2540396
"Albany State University","GA","Albany","Selective public",0,521,43800,23.30108,28.16368,21.58,17.59358,9.36166,.0947231,31900,9.391405,18.36999,28.97015,28.86176,14.40669,.2489291,9.824013,18.68702,30.51917,29.89952,11.07028,0
"Albany Technical College","GA","Albany","Two-year (public and private not-for-profit)",0,312.5,29200,44.53065,28.82257,13.61324,9.169492,3.864035,.0590431,15800,15.6005,40.21792,27.14019,12.43472,4.606673,.1793627,16.13389,45.90844,24.75463,9.974994,3.22804,.2399624
"Albertus Magnus College","CT","Bridgeport","Selective private",0,65.66666667,68600,12.97352,16.37367,24.20559,23.97548,22.47173,.3582891,43400,10.72124,11.51002,17.58469,29.04293,31.14112,.7106876,12.29156,4.388064,15.4304,25.33811,42.55187,.0294145
"Albion College","MI","Kalamazoo","Selective private",0,398,120700,2.265231,6.914248,13.48839,23.83263,53.49952,2.927522,48900,8.019707,8.319308,16.12107,28.65095,38.88897,3.088489,14.40876,5.908859,29.08856,20.51659,30.07722,.5123456
