id,birth_yr,gender,race,schooling,parent_edu,afqt,income,wage
2,1959,female,"non-black, non-hispanic",12,8,6.841,21000,11.53
6,1960,male,"non-black, non-hispanic",16,12,99.393,112000,54.32
8,1958,female,"non-black, non-hispanic",14,12,44.022,47000,22.59
9,1963,male,"non-black, non-hispanic",14,9,59.683,80000,27.97
14,1963,female,"non-black, non-hispanic",18,9,98.798,45000,42.65
16,1958,female,"non-black, non-hispanic",12,12,50.283,74000,36.05
17,1957,male,"non-black, non-hispanic",12,13,89.669,68000,34.41
18,1958,male,"non-black, non-hispanic",13,12,95.977,151000,74.17
20,1959,female,"non-black, non-hispanic",16,13,67.021,112000,48.95
21,1961,female,"non-black, non-hispanic",16,11,88.416,370314,175.21
22,1963,female,"non-black, non-hispanic",16,10,89.167,10300,5.06
25,1959,female,"non-black, non-hispanic",14,13,51.39,36000,27.5
27,1960,female,"non-black, non-hispanic",16,12,96.674,46000,45
34,1958,male,"non-black, non-hispanic",12,13,6.069,26000,27
37,1958,female,"non-black, non-hispanic",12,12,56.29,45000,25.14
38,1962,female,"non-black, non-hispanic",12,9,12.788,96000,48.53
39,1959,male,"non-black, non-hispanic",12,12,26.851,65000,25
40,1960,male,"non-black, non-hispanic",14,12,38.419,15000,15.38
41,1962,male,"non-black, non-hispanic",16,10,57.095,140000,51.77
42,1963,male,"non-black, non-hispanic",12,8,22.326,60000,24.03
44,1961,female,"non-black, non-hispanic",12,11,37.061,45000,20.6
47,1959,male,"non-black, non-hispanic",12,12,75.473,90000,35
49,1958,female,"non-black, non-hispanic",14,14,71.226,500,10.25
50,1958,female,"non-black, non-hispanic",12,10,78.742,65000,35.71
52,1958,male,"non-black, non-hispanic",14,14,69.08,370314,64.1
57,1958,female,"non-black, non-hispanic",12,12,30.83,31000,15
58,1957,female,"non-black, non-hispanic",17,15,91.625,110000,41.83
62,1964,female,"non-black, non-hispanic",16,8,36.384,58000,29.8
63,1960,male,"non-black, non-hispanic",16,12,87.934,150000,64.1
69,1964,male,"non-black, non-hispanic",18,8,86.703,140000,58.13
72,1959,female,"non-black, non-hispanic",16,13,80.538,46000,21.87
73,1963,male,"non-black, non-hispanic",18,8,81.527,370314,76.6
75,1962,female,"non-black, non-hispanic",16,10,83.379,117000,37.5
76,1964,male,"non-black, non-hispanic",14,9,42.78,60000,16.48
77,1964,female,"non-black, non-hispanic",16,8,96.835,134000,51.53
80,1963,male,"non-black, non-hispanic",16,8,78.759,23783,11.43
81,1964,male,"non-black, non-hispanic",18,7,29.497,54000,31.25
86,1960,female,black,10,9,7.198,24000,9.75
88,1957,male,black,16,12,80.798,36000,17.5
90,1958,male,"non-black, non-hispanic",16,14,80.298,129000,62.25
91,1963,female,"non-black, non-hispanic",16,8,22.823,40000,51.28
92,1962,female,"non-black, non-hispanic",12,9,44.375,41000,25.94
93,1964,male,"non-black, non-hispanic",14,7,28.438,49000,24.25
95,1960,female,"non-black, non-hispanic",12,12,34.573,52000,14
97,1958,female,"non-black, non-hispanic",14,9,59.411,27000,13.7
100,1963,female,"non-black, non-hispanic",13,8,40.421,96000,47.11
103,1958,male,"non-black, non-hispanic",16,14,76.421,90000,34.33
106,1961,male,"non-black, non-hispanic",16,11,87.651,122000,60.09
107,1962,male,"non-black, non-hispanic",16,10,65.347,75000,44.71
108,1958,male,"non-black, non-hispanic",20,14,96.818,60000,25
110,1957,male,"non-black, non-hispanic",13,12,64.697,90000,34.61
111,1959,female,"non-black, non-hispanic",12,12,46.195,42000,18.75
112,1963,female,"non-black, non-hispanic",11,9,39.529,34000,18.9
115,1960,female,"non-black, non-hispanic",16,12,85.492,20000,10
117,1959,male,"non-black, non-hispanic",15,12,98.349,45000,16.32
119,1957,male,"non-black, non-hispanic",16,13,27.671,15000,4.8
120,1962,male,"non-black, non-hispanic",12,10,97.847,120000,11.75
121,1964,female,"non-black, non-hispanic",16,8,92.618,62000,29.8
122,1961,male,"non-black, non-hispanic",12,10,52.132,100000,35
126,1958,male,"non-black, non-hispanic",14,13,67.259,75000,28.84
128,1958,female,"non-black, non-hispanic",13,12,59.846,148000,75
129,1960,male,"non-black, non-hispanic",16,11,92.817,120000,38.46
133,1962,female,"non-black, non-hispanic",13,9,57.983,15000,15
135,1964,male,"non-black, non-hispanic",13,8,38.315,80000,39
137,1961,female,"non-black, non-hispanic",16,11,87.283,180000,59.93
138,1962,female,"non-black, non-hispanic",16,10,88.326,20000,16
140,1958,female,"non-black, non-hispanic",20,14,72.878,76000,20.76
141,1962,female,"non-black, non-hispanic",16,10,85.861,72000,33.65
144,1964,female,"non-black, non-hispanic",12,8,37.874,23000,11.11
146,1964,male,"non-black, non-hispanic",12,8,86.932,114000,55.02
147,1961,female,"non-black, non-hispanic",12,11,22.466,12000,13.63
148,1963,male,"non-black, non-hispanic",12,9,74.997,48000,19.63
149,1964,female,"non-black, non-hispanic",12,8,39.973,110000,74.12
152,1961,female,"non-black, non-hispanic",12,11,93.332,25000,50.61
157,1962,female,"non-black, non-hispanic",20,10,43.873,130000,35.71
158,1958,female,"non-black, non-hispanic",18,14,85.206,68000,35.34
160,1960,female,"non-black, non-hispanic",14,12,77.44,80000,39.8
161,1961,female,"non-black, non-hispanic",12,10,47.296,55000,26
